occasion,archetype,weighted_meals,unweighted_meals,participants,top_groups,top_categories,occasion_weight,weighted_share,stratum
breakfast,other breakfast,93717759.71331,1898,1790,"sweet_drink, sweet_baked, water, fruit","Doughnuts, sweet rolls, pastries, Eggs and omelets, Smoothies and grain drinks, Bottled water",305642351.691707,0.3066255680686573,all
breakfast,cereal or oatmeal breakfast,65889065.989142,1473,1469,"milk_dairy_drink, cereal_oatmeal, cereal_oatmeal, milk_dairy_drink, cereal_oatmeal, milk_dairy_drink, cereal_oatmeal, fruit","Ready-to-eat cereal, higher sugar (>21.2g/100g), Milk, whole, Ready-to-eat cereal, higher sugar (>21.2g/100g), Milk, reduced fat, Milk, reduced fat, Ready-to-eat cereal, higher sugar (>21.2g/100g), Milk, whole, Ready-to-eat cereal, higher sugar (>21.2g/100g)",305642351.691707,0.2155757067842564,all
breakfast,coffee-first breakfast,48409595.04649,1011,991,"condiment_fat, coffee_tea, coffee_tea, coffee_tea, condiment_fat, coffee_tea, milk_dairy_drink","Coffee, Cream and cream substitutes, Coffee, Coffee, Cream and cream substitutes, Tea",305642351.691707,0.15838641071352383,all
breakfast,coffee and pastry breakfast,29977340.634731,643,639,"condiment_fat, bread, coffee_tea, sweet_baked, coffee_tea, bread, coffee_tea, condiment_fat, bread, condiment_fat, coffee_tea","Doughnuts, sweet rolls, pastries, Coffee, Coffee, Cookies and brownies, Biscuits, muffins, quick breads, Coffee, Coffee, Cereal bars",305642351.691707,0.09807979970317829,all
breakfast,breakfast sandwich or burrito,29277764.040263,561,561,"sandwich, coffee_tea, sandwich, water, sandwich, condiment_fat, sandwich","Egg/breakfast sandwiches, Egg/breakfast sandwiches, Coffee, Egg/breakfast sandwiches, Tap water, Coffee, Egg/breakfast sandwiches",305642351.691707,0.09579092648061638,all
breakfast,eggs with bread or meat,28983441.005776,610,610,"condiment_fat, eggs, bread, bread, eggs, breakfast_meat, eggs, eggs, bread","Yeast breads, Eggs and omelets, Eggs and omelets, Yeast breads, Eggs and omelets, Butter and animal fats, Yeast breads, Bacon, Eggs and omelets",305642351.691707,0.09482796099871262,all
breakfast,fruit and bread breakfast,6007101.110492,126,125,"bread, fruit, bread, water, fruit, condiment_fat, bread, fruit, fruit, bread","Yeast breads, Bananas, Nuts and seeds, Bagels and English muffins, Apples, Cream cheese, sour cream, whipped cream, Bananas, Nuts and seeds, Bagels and English muffins, Grapes, Strawberries, Butter and animal fats, Jams, syrups, toppings, Blueberries and other berries, Pancakes, waffles, French toast",305642351.691707,0.019654020711603465,all
breakfast,yogurt and fruit breakfast,3380284.151503,80,80,"fruit, yogurt, yogurt, fruit, condiment_fat, fruit, coffee_tea, yogurt, water, beans_nuts, fruit, yogurt","Yogurt, regular, Bananas, Yogurt, Greek, Bananas, Tap water, Pancakes, waffles, French toast, Blueberries and other berries, Yogurt, regular, Nuts and seeds, Bottled water, Blueberries and other berries, Milk, whole, Yogurt, regular",305642351.691707,0.011059606539451702,all
dinner,other dinner,97811231.490792,2163,2027,"grain_starch, sweet_baked, water, meat_poultry","Pasta mixed dishes, excludes macaroni and cheese, Chicken, whole pieces, Tap water, Ice cream and frozen dairy desserts",321954836.069638,0.30380420025632315,all
dinner,mixed entree dinner,52907742.984831,1037,1028,"mixed_main, mixed_main, water, water, mixed_main, mixed_main, grain_starch","Meat mixed dishes, Poultry mixed dishes, Fried rice and lo/chow mein, Pasta mixed dishes, excludes macaroni and cheese, Cheese",321954836.069638,0.16433281024978047,all
dinner,sandwich dinner,48431015.375761,936,930,"sandwich, condiment_fat, sandwich, sandwich, sweet_drink, sandwich, condiment_fat","Egg/breakfast sandwiches, Peanut butter and jelly sandwiches, Meat and BBQ sandwiches, Mayonnaise, Deli and cured meat sandwiches",321954836.069638,0.15042797917558068,all
dinner,protein vegetable starch dinner,30233207.521667,637,637,"vegetables, grain_starch, meat_poultry, meat_poultry, vegetables, grain_starch, grain_starch, meat_poultry, vegetables, meat_poultry, grain_starch, vegetables","Macaroni and cheese, String beans, Chicken patties, nuggets and tenders, Not included in a food category, Mashed potatoes and white potato mixtures, Wine, Other vegetables and combinations, Shellfish, Turkey, duck, other poultry, Onions, Tomatoes, Soft drinks, Blueberries and other berries, Mashed potatoes and white potato mixtures, Other vegetables and combinations, Shellfish, Tap water",321954836.069638,0.09390512001853463,all
dinner,protein and starch dinner,27746170.211089,578,577,"grain_starch, meat_poultry, meat_poultry, grain_starch, meat_poultry, water, grain_starch, meat_poultry, sweet_drink, grain_starch","Chicken patties, nuggets and tenders, French fries and other fried white potatoes, Rice, Chicken, whole pieces, White potatoes, baked or boiled, Chicken, whole pieces, Rice, Pork",321954836.069638,0.08618031817694943,all
dinner,tortilla dinner,24653181.504424,488,480,"tortilla, tortilla, sweet_drink, condiment_fat, tortilla, sweet_drink, tortilla","Burritos and tacos, Other Mexican mixed dishes, Burritos and tacos, Soft drinks, Other Mexican mixed dishes, Soft drinks",321954836.069638,0.07657341571689136,all
dinner,pizza dinner,21029736.933416,409,409,"pizza, water, pizza, pizza, sweet_drink, pizza, water","Pizza, Tap water, Pizza, Bottled water, Pizza, Pizza, Tap water",321954836.069638,0.0653189037013481,all
dinner,soup dinner,19142550.047658,419,416,"soup, sweet_drink, soup, water, soup, soup, water","Soups, broth-based, Ramen and Asian broth-based soups, Soups, cream-based, Tap water, Soups, broth-based",321954836.069638,0.05945725270459213,all
lunch,other lunch,72809119.973317,1551,1508,"sweet_drink, water, grain_starch, fruit","Bottled water, Pasta mixed dishes, excludes macaroni and cheese, Tap water, Nutritional beverages",256048535.993135,0.28435671264790635,all
lunch,sandwich lunch,72557395.702307,1509,1506,"sandwich, sandwich, condiment_fat, condiment_fat, sandwich, sandwich, water","Deli and cured meat sandwiches, Mayonnaise, Deli and cured meat sandwiches, Peanut butter and jelly sandwiches, Cheese sandwiches",256048535.993135,0.2833736011060511,all
lunch,plate lunch,27969144.234385,574,573,"meat_poultry, grain_starch, grain_starch, meat_poultry, vegetables, meat_poultry, meat_poultry, vegetables","French fries and other fried white potatoes, Chicken patties, nuggets and tenders, Chicken, whole pieces, Rice mixed dishes, Chicken patties, nuggets and tenders, Soft drinks, French fries and other fried white potatoes, Tomato-based condiments, Tomato-based condiments, Chicken patties, nuggets and tenders, French fries and other fried white potatoes",256048535.993135,0.10923375963038073,all
lunch,mixed entree lunch,26970416.477025,526,525,"mixed_main, grain_starch, mixed_main, water, mixed_main, sweet_drink, mixed_main","Poultry mixed dishes, Meat mixed dishes, Fried rice and lo/chow mein, Poultry mixed dishes, Tap water",256048535.993135,0.10533321884624293,all
lunch,salad lunch,18188105.184339,376,376,"vegetables, condiment_fat, condiment_fat, vegetables, meat_poultry, condiment_fat, vegetables, meat_poultry, condiment_fat, vegetables","Crackers, excludes saltines, Other vegetables and combinations, Chicken, whole pieces, Tap water, Lettuce and lettuce salads, Lettuce and lettuce salads, Dips, gravies, other sauces, Smoothies and grain drinks, Crackers, excludes saltines, Tomatoes, Other vegetables and combinations, Onions, Lettuce and lettuce salads, Candy containing chocolate, Salad dressings and vegetable oils, Shellfish, Dips, gravies, other sauces, Cabbage, Lettuce and lettuce salads",256048535.993135,0.07103381831023883,all
lunch,tortilla lunch,13068546.757804,245,244,"tortilla, water, tortilla, condiment_fat, tortilla, tortilla, vegetables","Burritos and tacos, Other Mexican mixed dishes, Burritos and tacos, Other vegetables and combinations, Tomato-based condiments, Burritos and tacos",256048535.993135,0.051039334035303315,all
lunch,pizza lunch,12708748.829164,257,257,"pizza, water, pizza, pizza, water, pizza, sweet_drink","Pizza, Tap water, Pizza, Pizza, Tap water, Pizza, Bottled water",256048535.993135,0.04963413979256159,all
lunch,soup lunch,11777058.834794,268,268,"soup, soup, water, salty_snack, soup, water, soup","Soups, broth-based, Ramen and Asian broth-based soups, Bottled water, Soups, broth-based, Tap water, Ramen and Asian broth-based soups",256048535.993135,0.045995415631315144,all
snack,other snack,182740029.188571,3914,2811,"fruit, water, beans_nuts, sweet_drink","Nuts and seeds, Apples, Bananas, Citrus fruits",494294117.65274,0.36969897610020247,all
snack,sweet snack,176746864.435789,3749,2920,"sweet_baked, sweet_baked, water, water, sweet_baked, sweet_baked, sweet_drink","Candy not containing chocolate, Cookies and brownies, Candy containing chocolate, Ice cream and frozen dairy desserts",494294117.65274,0.3575742824436366,all
snack,salty snack,108940217.304182,2274,1989,"salty_snack, water, salty_snack, salty_snack, water, sweet_baked, salty_snack","Tortilla, corn, other chips, Popcorn, Crackers, excludes saltines, Potato chips",494294117.65274,0.22039553661190148,all
snack,coffee or tea snack,14750221.974465,333,295,"coffee_tea, coffee_tea, condiment_fat, condiment_fat, coffee_tea, fruit, coffee_tea","Tea, Coffee, Cream and cream substitutes, Coffee, Coffee, Cream and cream substitutes",494294117.65274,0.02984098221623503,all
snack,sandwich snack,6724397.267046,140,137,"sandwich, condiment_fat, sandwich, sandwich, condiment_fat, water, sandwich","Peanut butter and jelly sandwiches, Deli and cured meat sandwiches, Deli and cured meat sandwiches, Mayonnaise, Cheese sandwiches",494294117.65274,0.013604040644825434,all
snack,fruit and dairy snack,4392387.482687,105,100,"fruit, yogurt, cheese, fruit, yogurt, fruit, fruit, cheese","Bananas, Yogurt, regular, Apples, Cheese, Cheese, Apples, Yogurt, regular, Strawberries",494294117.65274,0.00888618198319895,all
breakfast,other breakfast,38269997.523835,727,684,"sweet_drink, sweet_baked, fruit, water","Doughnuts, sweet rolls, pastries, Tap water, Smoothies and grain drinks, Eggs and omelets",138774967.479448,0.27577017828883754,pir_3plus
breakfast,cereal or oatmeal breakfast,30590345.810367,645,643,"milk_dairy_drink, cereal_oatmeal, cereal_oatmeal, milk_dairy_drink, cereal_oatmeal, fruit, cereal_oatmeal","Milk, reduced fat, Ready-to-eat cereal, higher sugar (>21.2g/100g), Ready-to-eat cereal, higher sugar (>21.2g/100g), Milk, reduced fat, Ready-to-eat cereal, higher sugar (>21.2g/100g), Milk, whole, Oatmeal",138774967.479448,0.220431295110174,pir_3plus
breakfast,coffee-first breakfast,24709408.157525,496,484,"coffee_tea, condiment_fat, coffee_tea, coffee_tea, condiment_fat, coffee_tea, milk_dairy_drink","Coffee, Coffee, Cream and cream substitutes, Cream and cream substitutes, Coffee, Tea",138774967.479448,0.1780537845284263,pir_3plus
breakfast,coffee and pastry breakfast,14242428.547598,291,289,"coffee_tea, sweet_baked, condiment_fat, bread, coffee_tea, sweet_baked, coffee_tea, condiment_fat, coffee_tea, bread","Doughnuts, sweet rolls, pastries, Coffee, Coffee, Cereal bars, Doughnuts, sweet rolls, pastries, Coffee, Cream and cream substitutes, Tea, Doughnuts, sweet rolls, pastries",138774967.479448,0.1026296658992714,pir_3plus
breakfast,eggs with bread or meat,13705813.529408,252,252,"condiment_fat, eggs, bread, condiment_fat, eggs, bread, coffee_tea, eggs, bread, condiment_fat, sweet_drink, eggs, breakfast_meat","Yeast breads, Eggs and omelets, Eggs and omelets, Butter and animal fats, Yeast breads, Yeast breads, Butter and animal fats, Eggs and omelets, Eggs and omelets, Yeast breads, Mustard and other condiments",138774967.479448,0.09876286608705404,pir_3plus
breakfast,breakfast sandwich or burrito,12664513.269658,215,215,"sandwich, coffee_tea, sandwich, condiment_fat, sandwich, water, sandwich","Egg/breakfast sandwiches, Mayonnaise, Deli and cured meat sandwiches, Coffee, Egg/breakfast sandwiches, Egg/breakfast sandwiches, Tap water",138774967.479448,0.09125934957638208,pir_3plus
breakfast,fruit and bread breakfast,2954212.653558,54,53,"bread, fruit, condiment_fat, bread, fruit, fruit, bread, beans_nuts, condiment_fat, bread, fruit","Bananas, Nuts and seeds, Bagels and English muffins, Grapes, Strawberries, Butter and animal fats, Jams, syrups, toppings, Blueberries and other berries, Pancakes, waffles, French toast, Pancakes, waffles, French toast, Tap water, Grapes, Bacon, Citrus juice, Strawberries, Sausages, Pancakes, waffles, French toast, Jams, syrups, toppings",138774967.479448,0.021287792079616282,pir_3plus
breakfast,yogurt and fruit breakfast,1638247.987499,41,41,"fruit, yogurt, yogurt, fruit, condiment_fat, fruit, coffee_tea, yogurt, water, beans_nuts, fruit, yogurt","Nuts and seeds, Bottled water, Blueberries and other berries, Milk, whole, Yogurt, regular, Eggs and omelets, Tea, Bananas, Yogurt, Greek, Blueberries and other berries, Yogurt, Greek, Coffee, Yogurt, regular, Bananas",138774967.479448,0.011805068430238458,pir_3plus
dinner,other dinner,41533077.733286,854,811,"sweet_baked, grain_starch, alcohol, fruit","Pasta mixed dishes, excludes macaroni and cheese, Cakes and pies, Beer, Ice cream and frozen dairy desserts",140047948.034875,0.29656327219405854,pir_3plus
dinner,mixed entree dinner,26827692.143497,484,480,"mixed_main, mixed_main, water, mixed_main, grain_starch, water, mixed_main","Meat mixed dishes, Fried rice and lo/chow mein, Stir-fry and soy-based sauce mixtures, Rice, Pasta mixed dishes, excludes macaroni and cheese, Cheese",140047948.034875,0.191560765580202,pir_3plus
dinner,sandwich dinner,20339504.50532,366,366,"sandwich, sandwich, sweet_drink, sandwich, condiment_fat, condiment_fat, sandwich","Meat and BBQ sandwiches, Egg/breakfast sandwiches, Peanut butter and jelly sandwiches, Mayonnaise, Deli and cured meat sandwiches",140047948.034875,0.14523243496759425,pir_3plus
dinner,protein vegetable starch dinner,14849286.636731,308,308,"meat_poultry, vegetables, grain_starch, vegetables, grain_starch, meat_poultry, meat_poultry, grain_starch, vegetables, condiment_fat, meat_poultry, grain_starch, vegetables","Not included in a food category, Mashed potatoes and white potato mixtures, Wine, Other vegetables and combinations, Shellfish, Mashed potatoes and white potato mixtures, Other vegetables and combinations, Shellfish, Tap water, Lettuce and lettuce salads, Lamb, goat, game, Cheese, Onions, Wine, Tomato-based condiments, Butter and animal fats, Beer, Bottled water, Shellfish",140047948.034875,0.10603001932618965,pir_3plus
dinner,protein and starch dinner,10470439.256303,188,188,"grain_starch, meat_poultry, meat_poultry, grain_starch, water, grain_starch, meat_poultry, meat_poultry, water, grain_starch","Rice, Beans, peas, legumes, Rice, Chicken, whole pieces, Chicken, whole pieces, Rice, Tortilla, corn, other chips, Cheese, Rice mixed dishes, Beans, peas, legumes, Dips, gravies, other sauces",140047948.034875,0.07476324646824266,pir_3plus
dinner,pizza dinner,9299180.207308,167,167,"pizza, pizza, sweet_drink, pizza, water, water, pizza","Pizza, Tap water, Pizza, Pizza, Tap water, Pizza, Soft drinks",140047948.034875,0.06639997470717886,pir_3plus
dinner,soup dinner,8582335.612817,171,169,"soup, soup, salty_snack, coffee_tea, soup, water, soup","Soups, broth-based, Ramen and Asian broth-based soups, Saltine crackers, Soups, broth-based, Soups, broth-based, Soft drinks",140047948.034875,0.061281409211935124,pir_3plus
dinner,tortilla dinner,8146431.939613,163,161,"condiment_fat, tortilla, tortilla, condiment_fat, vegetables, tortilla, tortilla, vegetables","Other Mexican mixed dishes, Burritos and tacos, Cream cheese, sour cream, whipped cream, Other Mexican mixed dishes, Other Mexican mixed dishes, Cream cheese, sour cream, whipped cream",140047948.034875,0.058168877544598936,pir_3plus
lunch,sandwich lunch,34073552.869223,668,668,"sandwich, sandwich, condiment_fat, condiment_fat, sandwich, sandwich, water","Mayonnaise, Deli and cured meat sandwiches, Peanut butter and jelly sandwiches, Cheese sandwiches, Deli and cured meat sandwiches",118427730.485366,0.28771599970357814,pir_3plus
lunch,other lunch,32766530.540489,640,619,"sweet_drink, grain_starch, sweet_baked, water","Pasta mixed dishes, excludes macaroni and cheese, Nutritional beverages, Tap water, Tea",118427730.485366,0.27667954461508426,pir_3plus
lunch,mixed entree lunch,13112519.110752,243,243,"mixed_main, grain_starch, mixed_main, water, mixed_main, mixed_main, condiment_fat","Meat mixed dishes, Poultry mixed dishes, Seafood mixed dishes, Tap water, Fried rice and lo/chow mein, Stir-fry and soy-based sauce mixtures",118427730.485366,0.11072169547631668,pir_3plus
lunch,plate lunch,11541877.539289,220,219,"meat_poultry, vegetables, grain_starch, meat_poultry, meat_poultry, grain_starch, meat_poultry, grain_starch, condiment_fat, sweet_drink","Chicken, whole pieces, Rice mixed dishes, Tomato-based condiments, Chicken patties, nuggets and tenders, French fries and other fried white potatoes, Turkey, duck, other poultry, Coleslaw, non-lettuce salads, Chicken patties, nuggets and tenders, Tomato-based condiments, Apple juice, French fries and other fried white potatoes",118427730.485366,0.09745924786353326,pir_3plus
lunch,salad lunch,10160430.826873,217,217,"condiment_fat, vegetables, meat_poultry, condiment_fat, vegetables, vegetables, meat_poultry, water, salty_snack, beans_nuts, condiment_fat, vegetables","Crackers, excludes saltines, Other vegetables and combinations, Chicken, whole pieces, Tap water, Lettuce and lettuce salads, Lettuce and lettuce salads, Dips, gravies, other sauces, Smoothies and grain drinks, Crackers, excludes saltines, Tomatoes, Other vegetables and combinations, Onions, Lettuce and lettuce salads, Candy containing chocolate, Salad dressings and vegetable oils, Shellfish, Dips, gravies, other sauces, Cabbage, Lettuce and lettuce salads",118427730.485366,0.08579435563977574,pir_3plus
lunch,tortilla lunch,5880484.148394,104,104,"condiment_fat, tortilla, tortilla, vegetables, tortilla, condiment_fat, tortilla, vegetables","Burritos and tacos, Tomato-based condiments, Burritos and tacos, Soft drinks, Other Mexican mixed dishes, Tortilla, corn, other chips, Burritos and tacos, Onions, Tomatoes, Tap water",118427730.485366,0.049654621635433986,pir_3plus
lunch,pizza lunch,5759891.693393,101,101,"pizza, water, pizza, pizza, water, sweet_baked, pizza, sweet_drink","Pizza, Tap water, Pizza, Pizza, Tap water, Pizza, Bottled water",118427730.485366,0.04863634277028339,pir_3plus
lunch,soup lunch,5132443.756953,108,108,"soup, soup, water, salty_snack, soup, soup, bread","Soups, broth-based, Ramen and Asian broth-based soups, Tap water, Soups, broth-based, Bottled water, Soups, broth-based",118427730.485366,0.043338192295994483,pir_3plus
snack,other snack,81781466.677425,1613,1171,"fruit, beans_nuts, water, sweet_drink","Nuts and seeds, Apples, Bananas, Cheese",220614474.438965,0.37069855405181307,pir_3plus
snack,sweet snack,78553960.760026,1557,1229,"sweet_baked, sweet_baked, water, water, sweet_baked, coffee_tea, sweet_baked","Candy containing chocolate, Candy not containing chocolate, Cookies and brownies, Ice cream and frozen dairy desserts",220614474.438965,0.35606893409778817,pir_3plus
snack,salty snack,47884040.480615,928,821,"salty_snack, water, salty_snack, salty_snack, water, sweet_baked, salty_snack","Crackers, excludes saltines, Tortilla, corn, other chips, Popcorn, Potato chips",220614474.438965,0.21704849875506493,pir_3plus
snack,coffee or tea snack,8038410.742499,159,145,"coffee_tea, coffee_tea, condiment_fat, condiment_fat, coffee_tea, beans_nuts, coffee_tea","Coffee, Tea, Coffee, Cream and cream substitutes, Nuts and seeds, Tea",220614474.438965,0.03643646122014945,pir_3plus
snack,fruit and dairy snack,2179512.718395,45,43,"cheese, fruit, fruit, cheese, fruit, yogurt, yogurt, fruit","Apples, Cheese, Bananas, Yogurt, regular, Other fruits and fruit salads, Strawberries, Yogurt, Greek, Dried fruits, Apples, Yogurt, regular, Nuts and seeds",220614474.438965,0.00987928250826526,pir_3plus
snack,sandwich snack,2177083.060005,44,43,"sandwich, sandwich, sweet_drink, sandwich, vegetables, condiment_fat, sandwich","Peanut butter and jelly sandwiches, Cheese sandwiches, Egg/breakfast sandwiches, Other diet drinks, Mayonnaise, Deli and cured meat sandwiches",220614474.438965,0.009868269366919123,pir_3plus
breakfast,other breakfast,19430017.376422,373,353,"sweet_drink, sweet_baked, fruit, water","Tap water, Smoothies and grain drinks, Eggs and omelets, Nutritional beverages",74855190.21512,0.2595680716405064,pir_5plus
breakfast,cereal or oatmeal breakfast,17738140.256074,364,364,"milk_dairy_drink, cereal_oatmeal, cereal_oatmeal, milk_dairy_drink, cereal_oatmeal, cereal_oatmeal, coffee_tea, milk_dairy_drink","Ready-to-eat cereal, higher sugar (>21.2g/100g), Milk, whole, Milk, reduced fat, Ready-to-eat cereal, higher sugar (>21.2g/100g), Ready-to-eat cereal, higher sugar (>21.2g/100g), Milk, reduced fat, Ready-to-eat cereal, lower sugar (=<21.2g/100g), Milk, reduced fat",74855190.21512,0.23696607015622909,pir_5plus
